,avg_daily_return,annualized_volatility,total_return,sharpe_ratio
NVDA,0.002625268001603824,0.4870017204860269,387.27242359123477,1.3584501010467076
MSFT,0.0010495552648793378,0.26891588517811654,11.230279613048724,0.983534039182585
GOOGL,0.0010622997337274198,0.2884660250272453,10.943021984382774,0.9280106136382124
AMZN,0.001196041330665088,0.3293326105233984,14.073901477020598,0.9151915288576873
AAPL,0.0010414826969258146,0.28850551937328284,10.266815324798293,0.9097005845691628
JPM,0.0008461669078681179,0.2715353263110275,5.922380864740058,0.7852903107661169
META,0.0010588000849544397,0.37537521056025164,7.548144212046514,0.7108024555225438
JNJ,0.0004237419277960148,0.18203367841067183,1.6886949749165185,0.5866110421813876
PG,0.0003475581222319055,0.18515794249725073,1.1655679354692268,0.4730266799315977
XOM,0.0004157971915405629,0.27421627077984534,1.0890279079984175,0.3821104122313196
